,car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarCompany
165,166,1,toyota celica gt liftback,1,1,2,3,rwd,front,94.5,168.7,64.0,52.6,2265,1,4,98,1,3.24,3.08,9.4,112,6600,26,29,9298.0,23
166,167,1,toyota corolla tercel,1,1,2,2,rwd,front,94.5,168.7,64.0,52.6,2300,1,4,98,1,3.24,3.08,9.4,112,6600,26,29,9538.0,23
167,168,2,toyota corona liftback,1,1,2,5,rwd,front,98.4,176.2,65.6,52.0,2540,3,4,146,1,3.62,3.5,9.3,116,4800,24,30,8449.0,23
168,169,2,toyota corolla,1,1,2,5,rwd,front,98.4,176.2,65.6,52.0,2536,3,4,146,1,3.62,3.5,9.3,116,4800,24,30,9639.0,23
169,170,2,toyota starlet,1,1,2,2,rwd,front,98.4,176.2,65.6,52.0,2551,3,4,146,1,3.62,3.5,9.3,116,4800,24,30,9989.0,23
170,171,2,toyota tercel,1,1,2,5,rwd,front,98.4,176.2,65.6,52.0,2679,3,4,146,1,3.62,3.5,9.3,116,4800,24,30,11199.0,23
171,172,2,toyota corolla,1,1,2,2,rwd,front,98.4,176.2,65.6,52.0,2714,3,4,146,1,3.62,3.5,9.3,116,4800,24,30,11549.0,23
172,173,2,toyota cressida,1,1,2,1,rwd,front,98.4,176.2,65.6,53.0,2975,3,4,146,1,3.62,3.5,9.3,116,4800,24,30,17669.0,23
173,174,-1,toyota corolla,1,1,4,3,fwd,front,102.4,175.6,66.5,54.9,2326,3,4,122,1,3.31,3.54,8.7,92,4200,29,34,8948.0,23
174,175,-1,toyota celica gt,2,2,4,3,fwd,front,102.4,175.6,66.5,54.9,2480,3,4,110,7,3.27,3.35,22.5,73,4500,30,33,10698.0,23
175,176,-1,toyota corona,1,1,4,2,fwd,front,102.4,175.6,66.5,53.9,2414,3,4,122,1,3.31,3.54,8.7,92,4200,27,32,9988.0,23
176,177,-1,toyota corolla,1,1,4,3,fwd,front,102.4,175.6,66.5,54.9,2414,3,4,122,1,3.31,3.54,8.7,92,4200,27,32,10898.0,23
177,178,-1,toyota mark ii,1,1,4,2,fwd,front,102.4,175.6,66.5,53.9,2458,3,4,122,1,3.31,3.54,8.7,92,4200,27,32,11248.0,23
178,179,3,toyota corolla liftback,1,1,2,2,rwd,front,102.9,183.5,67.7,52.0,2976,1,6,171,1,3.27,3.35,9.3,161,5200,20,24,16558.0,23
179,180,3,toyota corona,1,1,2,2,rwd,front,102.9,183.5,67.7,52.0,3016,1,6,171,1,3.27,3.35,9.3,161,5200,19,24,15998.0,23
180,181,-1,toyota starlet,1,1,4,3,rwd,front,104.5,187.8,66.5,54.1,3131,1,6,171,1,3.27,3.35,9.2,156,5200,20,24,15690.0,23
181,182,-1,toyouta tercel,1,1,4,4,rwd,front,104.5,187.8,66.5,54.1,3151,1,6,161,1,3.27,3.35,9.2,156,5200,19,24,15750.0,24
182,183,2,vokswagen rabbit,2,1,2,3,fwd,front,97.3,171.7,65.5,55.7,2261,3,4,97,7,3.01,3.4,23.0,52,4800,37,46,7775.0,25
183,184,2,volkswagen 1131 deluxe sedan,1,1,2,3,fwd,front,97.3,171.7,65.5,55.7,2209,3,4,109,1,3.19,3.4,9.0,85,5250,27,34,7975.0,26
184,185,2,volkswagen model 111,2,1,4,3,fwd,front,97.3,171.7,65.5,55.7,2264,3,4,97,7,3.01,3.4,23.0,52,4800,37,46,7995.0,26
185,186,2,volkswagen type 3,1,1,4,3,fwd,front,97.3,171.7,65.5,55.7,2212,3,4,109,1,3.19,3.4,9.0,85,5250,27,34,8195.0,26
186,187,2,volkswagen 411 (sw),1,1,4,3,fwd,front,97.3,171.7,65.5,55.7,2275,3,4,109,1,3.19,3.4,9.0,85,5250,27,34,8495.0,26
187,188,2,volkswagen super beetle,2,2,4,3,fwd,front,97.3,171.7,65.5,55.7,2319,3,4,97,7,3.01,3.4,23.0,68,4500,37,42,9495.0,26
188,189,2,volkswagen dasher,1,1,4,3,fwd,front,97.3,171.7,65.5,55.7,2300,3,4,109,1,3.19,3.4,10.0,100,5500,26,32,9995.0,26
189,190,3,vw dasher,1,1,2,1,fwd,front,94.5,159.3,64.2,55.6,2254,3,4,109,1,3.19,3.4,8.5,90,5500,24,29,11595.0,27
190,191,3,vw rabbit,1,1,2,2,fwd,front,94.5,165.7,64.0,51.4,2221,3,4,109,1,3.19,3.4,8.5,90,5500,24,29,9980.0,27
191,192,0,volkswagen rabbit,1,1,4,3,fwd,front,100.4,180.2,66.9,55.1,2661,3,5,136,1,3.19,3.4,8.5,110,5500,19,24,13295.0,26
192,193,0,volkswagen rabbit custom,2,2,4,3,fwd,front,100.4,180.2,66.9,55.1,2579,3,4,97,7,3.01,3.4,23.0,68,4500,33,38,13845.0,26
193,194,0,volkswagen dasher,1,1,4,4,fwd,front,100.4,183.1,66.9,55.1,2563,3,4,109,1,3.19,3.4,9.0,88,5500,25,31,12290.0,26
194,195,-2,volvo 145e (sw),1,1,4,3,rwd,front,104.3,188.8,67.2,56.2,2912,3,4,141,1,3.78,3.15,9.5,114,5400,23,28,12940.0,28
195,196,-1,volvo 144ea,1,1,4,4,rwd,front,104.3,188.8,67.2,57.5,3034,3,4,141,1,3.78,3.15,9.5,114,5400,23,28,13415.0,28
196,197,-2,volvo 244dl,1,1,4,3,rwd,front,104.3,188.8,67.2,56.2,2935,3,4,141,1,3.78,3.15,9.5,114,5400,24,28,15985.0,28
197,198,-1,volvo 245,1,1,4,4,rwd,front,104.3,188.8,67.2,57.5,3042,3,4,141,1,3.78,3.15,9.5,114,5400,24,28,16515.0,28
198,199,-2,volvo 264gl,1,2,4,3,rwd,front,104.3,188.8,67.2,56.2,3045,3,4,130,1,3.62,3.15,7.5,162,5100,17,22,18420.0,28
199,200,-1,volvo diesel,1,2,4,4,rwd,front,104.3,188.8,67.2,57.5,3157,3,4,130,1,3.62,3.15,7.5,162,5100,17,22,18950.0,28
200,201,-1,volvo 145e (sw),1,1,4,3,rwd,front,109.1,188.8,68.9,55.5,2952,3,4,141,1,3.78,3.15,9.5,114,5400,23,28,16845.0,28
201,202,-1,volvo 144ea,1,2,4,3,rwd,front,109.1,188.8,68.8,55.5,3049,3,4,141,1,3.78,3.15,8.7,160,5300,19,25,19045.0,28
202,203,-1,volvo 244dl,1,1,4,3,rwd,front,109.1,188.8,68.9,55.5,3012,2,6,173,1,3.58,2.87,8.8,134,5500,18,23,21485.0,28
203,204,-1,volvo 246,2,2,4,3,rwd,front,109.1,188.8,68.9,55.5,3217,3,6,145,7,3.01,3.4,23.0,106,4800,26,27,22470.0,28
204,205,-1,volvo 264gl,1,2,4,3,rwd,front,109.1,188.8,68.9,55.5,3062,3,4,141,1,3.78,3.15,9.5,114,5400,19,25,22625.0,28
